date,tgt_util,route_opt_cells,core_area,route_opt_util,tgt_max_layer,route_opt_len_m1,route_opt_len_mint1,route_opt_len_mint2,route_opt_len_mint3,route_opt_len_mint4,route_opt_len_mint5,route_opt_len_msmg1,route_opt_len_msmg2,route_opt_len_msmg3,route_opt_len_msmg4,route_opt_len_msmg5,route_opt_len_mg1,route_opt_len_mg2,route_opt_viol,tgt_clk_per,route_opt_wns,route_opt_wnhs,route_opt_tns,route_opt_tnhs,tgt_max_trans,clk_uncert,route_opt_max_trans,route_opt_min_trans,route_opt_clk_depth,route_opt_pow_int,route_opt_pow_sw,route_opt_pow_leak,man_opt,pnr_time
Thu Oct  3 11:55:58 EDT 2019,0.5,4178,3182.6412,0.545,MSMG5,194,9806,11545,5854,2975,273,96,76,0,0,0,0,0,0,5000,0,-0.06,0,-0.1,10,17,9.25,2.17,15,285000000,214000000,23100000,,292
Thu Oct  3 12:14:31 EDT 2019,0.5,4373,3321.4464,0.5314,MSMG5,172,9539,11644,5880,2939,350,297,265,45,3,0,0,0,0,1000,0,0,0,0,10,17,9.06,2.12,23,1360000000,1070000000,22900000,,321
Thu Oct  3 12:25:31 EDT 2019,0.5,4370,3321.4464,0.5314,MSMG5,180,9638,11730,5816,2838,274,364,310,64,8,0,0,0,0,1000,0,0,0,0,10,17,9.14,2.12,23,1360000000,1080000000,22900000,,319
Thu Oct  3 12:37:49 EDT 2019,0.5,5429,3889.7418,0.5253,MSMG5,169,10576,12685,6178,4002,335,305,272,95,49,45,0,0,0,500,0,-0.03,0,-0.03,10,17,10.43,2.82,13,4040000000,3500000000,30000000,,336
Thu Oct  3 12:59:54 EDT 2019,0.5,5610,3901.6858,0.5307,MSMG5,194,10115,12880,6048,3917,285,694,773,270,144,38,0,0,0,400,0,-0.05,0,-0.08,10,17,10.05,1.93,24,4670000000,4010000000,30600000,,357
Fri Oct  4 15:28:30 EDT 2019,0.5,5546,3893.7231,0.5289,MSMG5,173,9935,12262,5715,3937,645,766,696,284,127,13,0,0,0,450,0,-0.08,0,-0.24,10,17,12.15,2.78,24,4000000000,3460000000,30300000,,359
Fri Oct  4 15:41:08 EDT 2019,0.5,5569,3901.6858,0.5278,MSMG5,181,10096,12632,5863,3975,393,795,818,288,136,26,0,0,0,400,0,-0.04,0,-0.04,10,15,10.22,1.95,24,4620000000,3990000000,30300000,,357
Fri Oct  4 16:21:55 EDT 2019,0.5,5530,3901.6858,0.5247,MSMG5,180,9531,12343,5869,3794,770,851,982,663,310,108,0,0,0,400,0,0,0,0,10,12,10.28,2.23,24,4590000000,3960000000,30000000,,375
Fri Oct  4 16:55:41 EDT 2019,0.5,5483,3901.6858,0.5215,MG2,179,10038,12424,5603,3745,266,896,739,148,4,6,87,46,0,400,0,-0.08,0,-0.08,10,12,10.05,2.77,12,4090000000,3550000000,29700000,,327
Sat Oct  5 13:33:41 EDT 2019,0.5,5465,3901.6858,0.5201,MSMG2,176,9284,11876,5854,4146,996,1399,1089,0,0,0,0,0,0,400,0,0,0,0,10,12,10.26,1.89,20,4700000000,4200000000,29600000,,353
Sat Oct  5 13:47:03 EDT 2019,0.5,5478,3901.6858,0.5218,MINT5,184,9163,11806,6090,5266,1698,0,0,0,0,0,0,0,0,400,0,-0.04,0,-0.04,10,12,10.07,2.73,15,4040000000,3540000000,29900000,,360
Sat Oct  5 14:23:29 EDT 2019,0.5,5669,3901.6858,0.5343,MINT5,178,9399,11816,5880,5182,1840,0,0,0,0,0,0,0,0,400,0,-0.1,0,-0.29,20,22,19.34,2.52,10,4300000000,3600000000,30900000,,367
Sat Oct  5 14:36:47 EDT 2019,0.5,5536,3901.6858,0.5255,MSMG5,187,10110,12644,5981,3954,281,735,882,361,160,28,0,0,0,400,0,-0.05,0,-0.06,10,12,10.34,2.4,24,4590000000,3960000000,30000000,,364
Sat Oct  5 15:38:10 EDT 2019,0.5,5528,3901.6858,0.525,MSMG5,168,9515,12190,5947,4017,682,822,956,561,298,170,0,0,0,400,0,-0.05,0,-0.05,10,12,10.15,2.21,24,4630000000,3980000000,30000000,,378
Sat Oct  5 15:49:41 EDT 2019,0.7,5507,2808.1521,0.7274,MSMG5,204,9398,11973,5354,4384,332,703,744,210,68,35,0,0,0,400,0,-0.050,0,-0.050,10,12,9.88,2.94,22,4.79e+09,4.19e+09,2.99e+07,,348.0
Sat Oct  5 19:12:33 EDT 2019,0.8,5504,2434.7935,0.8383,MSMG5,215,8408,10868,5452,4353,782,891,849,645,278,176,0,0,4,400,0,0,0,0,10,12,10.09,2.19,19,4.19e+09,3.61e+09,2.99e+07,,359.0
Sat Oct  5 19:25:47 EDT 2019,0.8,5500,2434.7935,0.8375,MSMG5,206,8569,10908,5409,4291,776,887,839,553,176,186,0,0,3,400,0,0,0,0,10,12,10.24,2.69,19,4.13e+09,3.60e+09,2.97e+07,,352.0
Sat Oct  5 19:35:58 EDT 2019,0.8,5515,2434.7935,0.8379,MSMG5,220,8427,10807,5440,4391,723,893,825,567,202,182,0,0,3,400,0,0,0,0,10,12,9.78,2.65,19,4.14e+09,3.60e+09,2.98e+07,,352.0
Sat Oct  5 19:45:52 EDT 2019,0.8,5505,2434.7935,0.8381,MSMG5,217,8864,11148,5423,4501,486,738,668,319,69,59,0,0,5,400,0,-0.080,0,-0.210,10,12,9.77,2.57,19,4.15e+09,3.61e+09,2.98e+07,,356.0
Sat Oct  5 19:58:07 EDT 2019,0.8,5501,2434.7935,0.8370,MSMG5,221,8930,11230,5398,4380,410,742,730,353,59,59,0,0,3,400,-0.250,0,-0.250,0,10,12,10.28,1.89,19,4.15e+09,3.62e+09,2.97e+07,,355.0
Sat Oct  5 20:08:34 EDT 2019,0.79,5495,2450.5221,0.8336,MSMG5,228,9088,11537,5592,4343,346,658,562,237,160,71,0,0,0,400,0,-0.070,0,-0.140,10,12,9.82,1.64,16,4.04e+09,3.36e+09,2.99e+07,,347.0
Mon Oct  7 18:13:45 EDT 2019,0.79,4067,2012.6761,0.8463,MSMG5,216,8376,10280,5805,3399,353,142,53,9,0,0,0,0,0,3000,0,0,0,0,10,12,10.32,3.11,13,4.77e+08,3.65e+08,2.26e+07,,280.0
Mon Oct  7 18:25:53 EDT 2019,0.79,4051,2012.6761,0.8460,MSMG5,229,8356,10205,6014,3330,209,259,65,30,0,0,0,0,0,4000,0,-0.100,0,-0.140,10,12,10.91,2.59,12,3.81e+08,2.94e+08,2.25e+07,,282.0
Mon Oct  7 18:34:26 EDT 2019,0.79,4085,2012.6761,0.8493,MSMG5,225,8391,10082,5953,3437,387,155,78,26,0,0,0,0,0,5000,4773.33,-2.260,0,-2.450,10,12,11.86,3.19,18,2.91e+08,2.22e+08,2.26e+07,,279.0
